,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,199,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,72,7,0,0,0,0,1,0,1,0,0,1
"CD16-positive, CD56-dim natural killer cell, human",0,5,366,0,0,2,0,3,0,0,0,0,0
T-helper 22 cell,0,0,0,84,31,0,1,0,0,1,0,6,1
"central memory CD4-positive, alpha-beta T cell",0,0,1,18,106,5,0,0,0,3,0,27,5
"effector CD8-positive, alpha-beta T cell",0,0,3,0,0,194,3,6,3,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,1,10,76,6,0,3,0,1,7
gamma-delta T cell,1,0,5,9,8,12,15,49,1,3,0,3,3
mature NK T cell,4,0,1,0,0,20,1,2,72,0,0,1,0
mucosal invariant T cell,0,0,0,9,1,2,5,6,0,51,0,3,3
naive B cell,0,0,0,0,0,0,0,0,0,0,90,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,12,58,0,1,2,0,0,0,316,10
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,11,19,0,2,3,0,1,0,24,90
