,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,1145,0,0,0,0,0,0,0,8,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,209,32,1,0,1,0,3,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,28,1513,0,0,15,0,22,4,0,0,0,0
T-helper 22 cell,0,0,0,420,144,0,9,8,0,21,0,33,34
"central memory CD4-positive, alpha-beta T cell",0,0,2,125,742,14,18,13,1,13,0,123,64
"effector CD8-positive, alpha-beta T cell",0,0,7,0,9,578,28,31,2,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,5,5,28,444,45,1,20,0,1,43
gamma-delta T cell,0,1,22,47,40,26,40,170,3,41,0,18,6
mature NK T cell,8,0,11,1,2,59,5,4,355,0,0,4,0
mucosal invariant T cell,0,0,0,27,4,4,32,31,0,227,0,18,3
naive B cell,0,0,0,0,0,0,0,0,0,0,624,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",1,0,0,18,103,0,0,4,0,5,0,1304,44
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,67,91,0,18,7,0,2,0,92,504
