,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,42,6,0,1,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,6,295,0,0,14,0,1,1,0,0,0,0
T-helper 22 cell,0,0,0,91,26,0,2,2,0,4,0,3,6
"central memory CD4-positive, alpha-beta T cell",0,0,2,18,134,0,5,2,0,1,0,49,12
"effector CD8-positive, alpha-beta T cell",0,0,8,1,0,110,5,6,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,4,5,81,10,0,9,0,0,7
gamma-delta T cell,0,0,7,11,11,12,9,23,0,8,0,2,0
mature NK T cell,2,0,3,0,0,17,2,0,66,0,0,0,0
mucosal invariant T cell,0,0,0,6,3,0,8,4,0,45,0,2,1
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",1,0,0,4,22,0,0,2,0,0,0,257,10
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,9,20,0,1,2,0,1,0,25,98
