,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,44,4,0,0,0,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,307,0,0,8,0,1,0,0,0,0,0
T-helper 22 cell,0,0,0,74,44,0,3,2,0,5,0,4,2
"central memory CD4-positive, alpha-beta T cell",0,0,0,15,169,1,4,1,0,2,0,24,7
"effector CD8-positive, alpha-beta T cell",0,0,4,0,0,115,4,4,4,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,0,8,86,10,0,5,0,2,6
gamma-delta T cell,1,1,1,14,8,8,13,30,0,5,0,1,1
mature NK T cell,3,0,2,0,0,9,0,1,74,0,0,1,0
mucosal invariant T cell,0,0,0,5,1,1,9,5,0,44,0,2,2
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,7,29,0,1,1,0,4,0,245,9
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,10,21,0,2,2,0,1,0,13,107
