,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,227,0,0,1,0,0,0,0,0,0,0,3,0
"CD16-negative, CD56-bright natural killer cell, human",0,41,6,0,1,0,1,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,3,299,0,1,1,0,9,3,0,0,1,0
T-helper 22 cell,0,0,0,88,25,0,2,1,0,7,0,8,3
"central memory CD4-positive, alpha-beta T cell",0,0,2,23,161,2,4,2,0,2,0,21,6
"effector CD8-positive, alpha-beta T cell",0,0,2,1,2,105,8,5,5,1,0,1,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,2,11,86,4,0,5,0,0,8
gamma-delta T cell,0,0,1,17,7,2,7,38,0,5,0,5,1
mature NK T cell,1,0,0,0,0,10,1,0,78,0,0,0,0
mucosal invariant T cell,0,0,1,9,2,0,5,4,0,44,0,4,0
naive B cell,0,0,0,0,0,0,0,0,0,0,123,2,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,4,25,0,1,1,0,4,0,256,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,4,9,0,7,2,1,2,0,10,121
