,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,236,0,0,0,0,0,0,0,3,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,52,6,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,3,471,0,0,10,0,9,2,0,0,0,0
T-helper 22 cell,0,0,0,47,8,0,0,2,0,5,0,3,1
"central memory CD4-positive, alpha-beta T cell",0,0,1,21,64,3,0,1,0,1,0,27,5
"effector CD8-positive, alpha-beta T cell",0,0,2,1,1,112,28,7,3,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,6,3,14,122,8,0,12,0,2,14
gamma-delta T cell,0,0,2,6,3,8,6,34,0,11,0,9,2
mature NK T cell,2,0,3,0,1,12,4,1,95,1,0,2,0
mucosal invariant T cell,0,0,0,10,1,2,4,5,0,41,0,7,0
naive B cell,0,0,0,0,1,0,0,0,0,0,163,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,11,23,0,0,2,0,2,0,203,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,6,3,0,7,0,0,0,0,9,132
