,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,319,0,0,5,3,0,0,0,23,3,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,77,8,0,1,0,0,2,0,4,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,15,689,1,5,3,2,9,3,4,0,1,0
T-helper 22 cell,0,0,0,266,40,0,5,6,0,58,0,27,7
"central memory CD4-positive, alpha-beta T cell",0,0,0,200,248,2,5,30,0,92,0,354,62
"effector CD8-positive, alpha-beta T cell",0,0,3,9,5,175,5,6,3,8,0,2,1
"effector memory CD8-positive, alpha-beta T cell",0,2,0,12,2,26,123,6,3,54,0,1,7
gamma-delta T cell,0,0,1,61,4,4,8,34,0,29,0,3,3
mature NK T cell,2,1,3,1,0,8,2,0,56,2,0,1,0
mucosal invariant T cell,0,0,0,12,3,0,11,6,0,114,0,10,1
naive B cell,0,0,0,0,4,0,0,0,0,2,336,4,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,42,19,1,2,7,0,12,0,565,19
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,50,16,0,21,6,0,18,0,21,270
