,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,225,0,0,0,0,0,0,0,7,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,1,39,0,4,2,2,0,0,0,0,2,0
"CD16-positive, CD56-dim natural killer cell, human",0,5,254,3,10,33,2,2,1,2,0,8,0
T-helper 22 cell,0,0,4,26,52,2,14,0,0,2,0,28,5
"central memory CD4-positive, alpha-beta T cell",0,0,7,15,139,0,6,1,0,0,0,52,3
"effector CD8-positive, alpha-beta T cell",0,0,50,3,4,40,4,1,0,2,0,26,2
"effector memory CD8-positive, alpha-beta T cell",0,0,24,1,15,6,31,2,0,4,0,31,4
gamma-delta T cell,0,1,22,2,14,11,11,4,0,1,0,15,0
mature NK T cell,5,0,5,2,1,6,1,0,65,1,0,3,1
mucosal invariant T cell,0,0,10,9,4,8,10,0,0,2,0,25,1
naive B cell,0,0,0,0,0,0,0,0,0,0,124,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,5,13,67,0,17,3,0,1,0,185,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,3,13,51,0,12,0,0,0,0,66,10
