,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,797,0,0,0,0,0,0,0,3,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,127,22,1,2,1,0,1,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,8,779,0,0,53,6,3,0,1,0,0,0
T-helper 22 cell,0,0,0,153,94,0,0,4,0,0,0,5,4
"central memory CD4-positive, alpha-beta T cell",0,0,3,29,62,6,2,1,0,0,0,18,1
"effector CD8-positive, alpha-beta T cell",0,0,20,0,1,377,37,3,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,1,3,16,4,238,11,0,29,0,2,52
gamma-delta T cell,0,1,27,7,22,65,37,38,0,51,1,17,1
mature NK T cell,10,0,9,0,1,45,5,1,298,0,0,4,0
mucosal invariant T cell,0,0,1,22,9,4,12,10,0,116,0,12,3
naive B cell,0,0,0,0,0,0,0,0,0,0,278,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,19,150,0,0,0,0,0,0,641,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,10,44,0,2,1,0,1,0,80,241
