,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,229,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,43,4,0,0,1,1,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,6,294,0,0,12,1,2,2,0,0,0,0
T-helper 22 cell,0,0,0,91,26,0,2,0,0,4,0,5,6
"central memory CD4-positive, alpha-beta T cell",0,0,1,19,154,5,2,1,0,4,0,26,11
"effector CD8-positive, alpha-beta T cell",0,0,6,0,0,119,2,4,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,3,3,83,12,0,5,0,0,10
gamma-delta T cell,0,0,7,10,5,11,10,28,0,10,0,2,0
mature NK T cell,1,0,3,1,0,11,2,1,70,0,0,1,0
mucosal invariant T cell,0,0,0,6,1,2,2,4,0,48,0,4,2
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,5,21,0,0,0,0,1,0,261,8
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,9,23,0,4,0,0,0,0,16,104
