,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,344,0,0,0,0,0,0,0,7,2,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,76,9,0,0,0,0,1,0,6,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,9,689,1,3,1,0,13,0,15,0,0,1
T-helper 22 cell,0,0,0,240,23,0,8,3,0,96,0,31,8
"central memory CD4-positive, alpha-beta T cell",0,0,1,187,110,2,12,5,0,203,0,371,102
"effector CD8-positive, alpha-beta T cell",0,0,6,3,2,147,16,6,3,32,0,0,2
"effector memory CD8-positive, alpha-beta T cell",0,0,1,17,2,20,113,7,1,65,0,0,10
gamma-delta T cell,0,0,1,59,3,3,10,34,0,36,0,0,1
mature NK T cell,1,1,5,1,0,7,2,2,55,2,0,0,0
mucosal invariant T cell,0,0,0,13,0,0,7,8,0,121,0,7,1
naive B cell,0,0,0,0,2,0,0,0,0,6,336,2,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,1,24,8,0,0,3,0,33,0,574,24
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,43,3,1,13,1,0,30,0,17,294
