,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,1144,0,0,0,0,0,0,0,8,0,0,1,0
"CD16-negative, CD56-bright natural killer cell, human",0,212,24,1,4,1,0,4,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,10,1509,0,3,27,3,20,7,1,0,1,1
T-helper 22 cell,0,0,0,386,147,0,16,32,0,30,0,39,19
"central memory CD4-positive, alpha-beta T cell",0,0,4,112,731,9,14,21,0,14,0,150,60
"effector CD8-positive, alpha-beta T cell",0,0,7,3,11,546,54,23,5,2,0,1,4
"effector memory CD8-positive, alpha-beta T cell",0,0,0,13,10,35,404,38,1,34,0,4,53
gamma-delta T cell,0,0,16,48,30,33,35,174,3,39,0,24,12
mature NK T cell,7,1,9,1,2,51,7,4,361,1,0,4,1
mucosal invariant T cell,0,0,2,38,8,4,29,35,0,191,0,37,2
naive B cell,0,0,0,0,5,0,0,0,0,0,617,2,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,55,142,0,2,8,0,9,0,1233,30
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,40,51,0,16,10,1,3,0,58,602
