,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,229,0,0,0,0,0,0,0,3,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,43,6,0,0,1,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,7,302,0,0,10,0,1,0,0,0,0,0
T-helper 22 cell,0,0,0,83,34,0,1,2,0,4,0,7,2
"central memory CD4-positive, alpha-beta T cell",0,0,2,17,167,4,4,0,0,2,0,24,3
"effector CD8-positive, alpha-beta T cell",0,0,3,1,2,114,7,2,3,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,0,8,85,6,0,4,0,2,11
gamma-delta T cell,0,0,5,8,5,9,9,32,0,5,0,4,4
mature NK T cell,2,0,2,0,0,15,0,1,69,0,0,1,0
mucosal invariant T cell,0,0,0,2,0,0,11,4,0,45,0,6,1
naive B cell,0,0,0,0,0,0,0,0,0,0,124,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,5,30,0,0,0,0,4,0,246,10
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,11,15,0,4,2,0,1,0,15,107
