,B cell,"CD14-low, CD16-positive monocyte",CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human","CD34-positive, CD38-negative hematopoietic stem cell","CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell","ILC1, human",IgA plasma cell,IgG plasma cell,IgM plasma cell,T follicular helper cell,T-helper 1 cell,T-helper 2 cell,T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell",class switched memory B cell,dendritic cell,"dendritic cell, human","effector CD8-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",erythrocyte,"erythroid progenitor cell, mammalian",gamma-delta T cell,"group 2 innate lymphoid cell, human",immature B cell,mature NK T cell,mucosal invariant T cell,myeloid dendritic cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",natural killer cell,plasmablast,plasmacytoid dendritic cell,platelet,regulatory T cell,unswitched memory B cell
B cell,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CD14-low, CD16-positive monocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CD14-positive monocyte,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,0,0,46,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,0,0,4,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"CD34-positive, CD38-negative hematopoietic stem cell",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD4-positive, alpha-beta T cell",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CD8-positive, alpha-beta T cell",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ILC1, human",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgA plasma cell,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
