,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,41,8,0,0,1,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,8,306,0,0,3,0,3,0,0,0,0,0
T-helper 22 cell,0,0,0,89,25,0,0,0,0,5,0,8,6
"central memory CD4-positive, alpha-beta T cell",0,0,2,22,153,4,3,2,0,1,0,20,16
"effector CD8-positive, alpha-beta T cell",0,0,0,0,3,121,5,1,1,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,1,4,90,3,0,5,0,1,14
gamma-delta T cell,0,0,3,5,9,5,7,42,0,4,0,4,2
mature NK T cell,1,0,2,0,0,16,0,1,69,0,0,1,0
mucosal invariant T cell,0,0,0,2,0,0,8,2,0,50,0,4,3
naive B cell,0,0,0,0,0,0,0,0,0,0,124,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,5,22,0,0,1,0,0,0,257,10
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,12,14,0,3,0,0,0,0,21,105
