,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,337,0,0,1,0,0,0,0,15,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,77,12,0,0,0,0,3,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,12,714,0,0,0,0,6,0,0,0,0,0
T-helper 22 cell,0,0,0,341,4,0,9,5,0,29,0,5,16
"central memory CD4-positive, alpha-beta T cell",0,0,1,279,107,4,15,30,0,17,0,245,295
"effector CD8-positive, alpha-beta T cell",0,0,3,2,3,157,3,45,1,1,0,0,2
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,2,21,145,31,0,29,0,0,8
gamma-delta T cell,0,1,2,68,0,2,11,46,0,14,0,1,2
mature NK T cell,1,0,3,0,0,11,2,2,54,2,0,1,0
mucosal invariant T cell,0,0,0,9,0,0,8,13,0,118,0,8,1
naive B cell,0,0,0,0,0,0,0,0,0,0,346,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,20,0,0,0,5,0,16,0,576,50
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,32,4,0,21,0,0,0,0,19,326
