,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,347,0,0,0,0,0,0,0,6,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,76,12,0,0,0,0,3,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,8,692,0,1,18,0,12,1,0,0,0,0
T-helper 22 cell,0,0,0,308,10,0,13,6,0,25,0,23,24
"central memory CD4-positive, alpha-beta T cell",0,0,4,251,58,2,17,8,0,14,0,386,253
"effector CD8-positive, alpha-beta T cell",0,0,11,1,3,172,4,24,0,0,0,0,2
"effector memory CD8-positive, alpha-beta T cell",0,4,0,1,2,21,151,34,0,16,0,0,7
gamma-delta T cell,0,0,4,73,1,9,18,32,0,8,0,2,0
mature NK T cell,1,0,4,0,0,12,1,1,54,2,0,1,0
mucosal invariant T cell,0,0,0,10,0,0,30,14,0,95,0,6,2
naive B cell,0,0,0,0,0,0,0,0,0,0,346,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,6,0,0,0,1,0,10,0,613,37
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,60,5,0,24,4,0,3,0,24,282
