,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,229,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,44,4,0,0,0,0,0,0,0,0,0,1
"CD16-positive, CD56-dim natural killer cell, human",0,2,305,0,0,8,0,2,0,0,0,0,0
T-helper 22 cell,0,0,0,86,27,0,3,1,0,5,0,8,4
"central memory CD4-positive, alpha-beta T cell",0,0,1,23,156,1,3,4,0,2,0,27,6
"effector CD8-positive, alpha-beta T cell",0,0,3,1,0,117,5,0,3,0,0,0,2
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,0,9,84,10,2,5,0,0,7
gamma-delta T cell,0,1,6,9,8,10,11,30,1,5,0,1,1
mature NK T cell,2,0,2,0,0,17,1,1,66,0,0,0,1
mucosal invariant T cell,0,0,0,7,2,0,10,3,0,40,0,6,1
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,8,27,0,0,2,0,1,0,245,13
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,15,19,0,3,4,0,1,0,25,89
