,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,158,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,18,6,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,263,0,0,0,0,0,0,0,0,0,0
T-helper 22 cell,0,0,0,126,52,0,1,3,0,6,0,7,8
"central memory CD4-positive, alpha-beta T cell",0,0,1,14,131,2,4,6,0,1,0,12,3
"effector CD8-positive, alpha-beta T cell",0,0,2,0,1,107,5,2,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,0,2,107,5,0,4,0,0,10
gamma-delta T cell,0,0,4,14,22,1,5,16,0,6,0,5,1
mature NK T cell,1,0,2,0,0,15,1,1,62,0,0,0,0
mucosal invariant T cell,0,0,0,10,1,1,3,3,0,39,0,3,0
naive B cell,0,0,0,0,0,0,0,0,0,0,60,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,6,25,0,0,1,0,3,0,253,12
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,21,38,0,6,0,0,1,0,17,84
