,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,237,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,47,8,0,0,0,0,2,0,0,0,0,1
"CD16-positive, CD56-dim natural killer cell, human",0,4,478,0,0,10,0,1,2,0,0,0,0
T-helper 22 cell,0,0,0,48,10,0,0,3,0,3,0,0,2
"central memory CD4-positive, alpha-beta T cell",0,0,1,17,83,4,0,2,0,0,0,12,4
"effector CD8-positive, alpha-beta T cell",0,0,8,1,1,125,11,2,7,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,1,3,0,10,126,20,1,5,0,1,14
gamma-delta T cell,0,0,4,7,6,12,7,28,1,6,0,6,4
mature NK T cell,3,0,4,0,0,15,0,1,95,1,0,2,0
mucosal invariant T cell,0,0,0,6,2,0,7,9,0,43,0,3,0
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,12,17,0,0,1,0,2,0,209,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,8,15,1,4,2,0,0,0,22,105
