,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,703,0,0,0,1,0,0,0,1,0,0,95,0
"CD16-negative, CD56-bright natural killer cell, human",0,129,22,1,0,0,1,0,0,0,0,2,0
"CD16-positive, CD56-dim natural killer cell, human",0,5,811,0,0,23,3,2,1,2,0,2,1
T-helper 22 cell,0,0,0,154,45,0,2,4,0,9,0,37,9
"central memory CD4-positive, alpha-beta T cell",0,0,0,29,44,9,1,0,0,1,0,30,8
"effector CD8-positive, alpha-beta T cell",0,0,7,0,1,367,34,1,5,1,0,1,22
"effector memory CD8-positive, alpha-beta T cell",0,0,1,5,1,32,194,11,1,22,0,5,84
gamma-delta T cell,0,0,23,12,4,47,23,47,1,71,0,29,10
mature NK T cell,12,0,4,0,2,44,10,0,280,0,0,20,1
mucosal invariant T cell,0,0,0,18,3,4,11,5,0,118,0,29,1
naive B cell,0,0,0,0,0,0,0,0,0,0,273,5,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,29,79,0,1,0,0,3,0,690,10
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,7,7,0,0,2,0,2,0,52,309
